estrategia,execucao,semente,vpl_final,eficiencia_final,vpl_5000,vpl_10000,vpl_25000,vpl_50000,fitness_inicial_medio,fitness_inicial_max,tempo_medio_s
Aleatoria,0,0,30336288.0,0.9429734334615559,23237560.0,27560245.0,30257004.0,30336288.0,-140236852.25,-49307861.0,1.8959440050666672
Aleatoria,1,1,30386150.0,0.944523344292415,29352411.0,29923332.0,30253953.0,30386150.0,-120568733.85,-53079168.0,1.8959440050666672
Aleatoria,2,2,30440853.0,0.9462237328083286,28000188.0,30218182.0,30246461.0,30440853.0,-112456301.55,-5051526.0,1.8959440050666672
Aleatoria,3,3,30237199.0,0.9398933501452229,24331767.0,26501767.0,28846510.0,30237199.0,-122220518.825,-29762189.0,1.8959440050666672
Aleatoria,4,4,30277135.0,0.9411347211079036,25683140.0,28516208.0,30065491.0,30277135.0,-120740932.775,-18853791.0,1.8959440050666672
Aleatoria,5,5,30055643.0,0.9342498619015214,28592530.0,29241246.0,29930333.0,30055643.0,-118469983.35,-39269790.0,1.8959440050666672
Aleatoria,6,6,30383932.0,0.9444543999616051,18142977.0,28648202.0,30214721.0,30383932.0,-119666802.075,-31767044.0,1.8959440050666672
Aleatoria,7,7,30285766.0,0.9414030071850996,20760960.0,28516788.0,30147849.0,30285766.0,-126628866.875,-31784802.0,1.8959440050666672
Aleatoria,8,8,30120234.0,0.9362576090932909,28388766.0,29166430.0,29974574.0,30120234.0,-123192824.075,-33660022.0,1.8959440050666672
Aleatoria,9,9,30398418.0,0.9449046829084549,20936847.0,29812139.0,30338064.0,30398418.0,-118835273.825,-26316715.0,1.8959440050666672
Aleatoria,10,10,30349353.0,0.9433795460323547,21584810.0,28955235.0,30235320.0,30349353.0,-121021378.075,-52799618.0,1.8959440050666672
Aleatoria,11,11,29217413.0,0.9081943134728382,18083160.0,23055490.0,29148739.0,29217413.0,-138554154.25,-24602658.0,1.8959440050666672
Aleatoria,12,12,30231641.0,0.9397205852260878,27735762.0,28142056.0,30171077.0,30231641.0,-137363152.175,-66712218.0,1.8959440050666672
Aleatoria,13,13,30071730.0,0.9347499103459486,20752960.0,29097624.0,29970218.0,30071730.0,-111779766.45,-27759938.0,1.8959440050666672
Aleatoria,14,14,30271920.0,0.9409726180036774,26208559.0,28693616.0,30007025.0,30271920.0,-126024605.225,-46588421.0,1.8959440050666672
Aleatoria + BL,0,0,30526217.0,0.9488771881082655,28731122.0,30255044.0,30487063.0,30526217.0,-140236852.25,-49307861.0,1.0032794984666604
Aleatoria + BL,1,1,30420559.0,0.9455929139402235,30172717.0,30256011.0,30392046.0,30420559.0,-120568733.85,-53079168.0,1.0032794984666604
Aleatoria + BL,2,2,30924737.0,0.9612647871679494,30566697.0,30720868.0,30916068.0,30924737.0,-112456301.55,-5051526.0,1.0032794984666604
Aleatoria + BL,3,3,30616007.0,0.9516682212297375,30074135.0,30254262.0,30588215.0,30616007.0,-122220518.825,-29762189.0,1.0032794984666604
Aleatoria + BL,4,4,30803242.0,0.9574882355576003,30559291.0,30662710.0,30784111.0,30803242.0,-120740932.775,-18853791.0,1.0032794984666604
Aleatoria + BL,5,5,30757029.0,0.9560517502736869,30291319.0,30378902.0,30698597.0,30757029.0,-118469983.35,-39269790.0,1.0032794984666604
Aleatoria + BL,6,6,30615923.0,0.9516656101730251,30228612.0,30450023.0,30597922.0,30615923.0,-119666802.075,-31767044.0,1.0032794984666604
Aleatoria + BL,7,7,30774283.0,0.956588073756011,30352211.0,30449258.0,30698776.0,30774283.0,-126628866.875,-31784802.0,1.0032794984666604
Aleatoria + BL,8,8,30606523.0,0.9513734204933075,30203559.0,30422585.0,30598522.0,30606523.0,-123192824.075,-33660022.0,1.0032794984666604
Aleatoria + BL,9,9,30816973.0,0.9579150500780473,30332090.0,30597216.0,30810477.0,30816973.0,-118835273.825,-26316715.0,1.0032794984666604
Aleatoria + BL,10,10,30612683.0,0.951564897985548,30460484.0,30545902.0,30603766.0,30612683.0,-121021378.075,-52799618.0,1.0032794984666604
Aleatoria + BL,11,11,30760499.0,0.9561596117831146,30504471.0,30630090.0,30753889.0,30760499.0,-138554154.25,-24602658.0,1.0032794984666604
Aleatoria + BL,12,12,30791138.0,0.9571119947189513,30422420.0,30633100.0,30742850.0,30791138.0,-137363152.175,-66712218.0,1.0032794984666604
Aleatoria + BL,13,13,30373359.0,0.9441257487399398,30162029.0,30226518.0,30318833.0,30373359.0,-111779766.45,-27759938.0,1.0032794984666604
Aleatoria + BL,14,14,30614733.0,0.9516286202029332,30231241.0,30401969.0,30584607.0,30614733.0,-126024605.225,-46588421.0,1.0032794984666604
GRASP (a=0.5),0,0,30615863.0,0.9516637451325163,-103250554.0,-2604569.0,24503852.0,30615863.0,-548448429.1,-482112061.0,1.9084473547333498
GRASP (a=0.5),1,1,25677624.0,0.7981634821773466,-217403325.0,-62576348.0,6185541.0,25677624.0,-549581126.425,-492156893.0,1.9084473547333498
GRASP (a=0.5),2,2,30583120.0,0.9506459614428364,-219046493.0,-90464925.0,21251378.0,30583120.0,-534274218.25,-451759003.0,1.9084473547333498
GRASP (a=0.5),3,3,30518418.0,0.9486347639261253,-164277487.0,-47536466.0,26586738.0,30518418.0,-544734375.45,-473020184.0,1.9084473547333498
GRASP (a=0.5),4,4,27625071.0,0.8586979412408419,-204667576.0,-62156608.0,20264589.0,27625071.0,-529837047.8,-479575171.0,1.9084473547333498
GRASP (a=0.5),5,5,25204006.0,0.7834415362487874,-121974513.0,-11815347.0,20936900.0,25204006.0,-540455379.05,-471044315.0,1.9084473547333498
GRASP (a=0.5),6,6,15571287.0,0.4840180171616676,-167255403.0,-58827689.0,12686578.0,15571287.0,-540052105.125,-474479482.0,1.9084473547333498
GRASP (a=0.5),7,7,29365228.0,0.9127889961863963,-126727352.0,-47980117.0,26710723.0,29365228.0,-544819568.925,-469694550.0,1.9084473547333498
GRASP (a=0.5),8,8,28507226.0,0.8861188547420349,-168007676.0,-27813358.0,14120769.0,28507226.0,-543600276.65,-490938405.0,1.9084473547333498
GRASP (a=0.5),9,9,28273957.0,0.8788679191677766,-184943253.0,-84115941.0,17010034.0,28273957.0,-543752161.225,-451985103.0,1.9084473547333498
GRASP (a=0.5),10,10,28623824.0,0.8897431879628545,-220539797.0,-33156256.0,23435928.0,28623824.0,-533413933.45,-448473737.0,1.9084473547333498
GRASP (a=0.5),11,11,28654790.0,0.8907057353694644,-214119559.0,-94241109.0,17670087.0,28654790.0,-547904625.825,-474320738.0,1.9084473547333498
GRASP (a=0.5),12,12,30558531.0,0.9498816367583072,-247567930.0,-85460096.0,30006828.0,30558531.0,-544910832.925,-464032219.0,1.9084473547333498
GRASP (a=0.5),13,13,20138005.0,0.6259699182021209,-182879280.0,-43890052.0,12577126.0,20138005.0,-543690075.45,-465428640.0,1.9084473547333498
GRASP (a=0.5),14,14,30080962.0,0.9350368779122413,-266036938.0,-96614062.0,17598398.0,30080962.0,-541074315.175,-477490848.0,1.9084473547333498
GRASP (a=0.5) + BL,0,0,30495039.0,0.9479080508918577,-121099882.0,-39229318.0,30492527.0,30495039.0,-548448429.1,-482112061.0,1.0379735123333376
GRASP (a=0.5) + BL,1,1,30691118.0,0.9540029721907229,-139235369.0,-57215428.0,30571166.0,30691118.0,-549581126.425,-492156893.0,1.0379735123333376
GRASP (a=0.5) + BL,2,2,30213798.0,0.9391659532627687,-174784309.0,-60153768.0,30068219.0,30213798.0,-534274218.25,-451759003.0,1.0379735123333376
GRASP (a=0.5) + BL,3,3,30729200.0,0.9551867134016806,-139467782.0,-10422896.0,30676704.0,30729200.0,-544734375.45,-473020184.0,1.0379735123333376
GRASP (a=0.5) + BL,4,4,30420799.0,0.9456003741022588,-188306517.0,-72030864.0,30342916.0,30420799.0,-529837047.8,-479575171.0,1.0379735123333376
GRASP (a=0.5) + BL,5,5,30547106.0,0.9495265019614165,-147251086.0,-42455468.0,30484464.0,30547106.0,-540455379.05,-471044315.0,1.0379735123333376
GRASP (a=0.5) + BL,6,6,30390599.0,0.9446616370461451,-132679716.0,-62136977.0,30339482.0,30390599.0,-540052105.125,-474479482.0,1.0379735123333376
GRASP (a=0.5) + BL,7,7,30546137.0,0.9494963815571987,-138517699.0,-39672831.0,30437340.0,30546137.0,-544819568.925,-469694550.0,1.0379735123333376
GRASP (a=0.5) + BL,8,8,30496569.0,0.947955609424833,-164916907.0,-85988645.0,30493856.0,30496569.0,-543600276.65,-490938405.0,1.0379735123333376
GRASP (a=0.5) + BL,9,9,30347409.0,0.9433191187198685,-132940612.0,-43810868.0,30309427.0,30347409.0,-543752161.225,-451985103.0,1.0379735123333376
GRASP (a=0.5) + BL,10,10,30475353.0,0.9472961311009088,-137568662.0,-35046324.0,30453168.0,30475353.0,-533413933.45,-448473737.0,1.0379735123333376
GRASP (a=0.5) + BL,11,11,30455418.0,0.9466764713918483,-133242644.0,-63097063.0,30297586.0,30455418.0,-547904625.825,-474320738.0,1.0379735123333376
GRASP (a=0.5) + BL,12,12,30613628.0,0.9515942723735621,-148221797.0,-30140973.0,30572423.0,30613628.0,-544910832.925,-464032219.0,1.0379735123333376
GRASP (a=0.5) + BL,13,13,30607311.0,0.9513979146919903,-146184217.0,-56958653.0,30568771.0,30607311.0,-543690075.45,-465428640.0,1.0379735123333376
GRASP (a=0.5) + BL,14,14,30615914.0,0.9516653304169488,-159581130.0,-38012873.0,30466144.0,30615914.0,-541074315.175,-477490848.0,1.0379735123333376
